PING www.cs.ox.ac.uk (129.67.151.1) 56(84) bytes of data.
[1725936885.919991] From 192.168.43.128 icmp_seq=5506 Destination Host Unreachable
[1725936885.921075] From 192.168.43.128 icmp_seq=5507 Destination Host Unreachable
[1725936885.921121] From 192.168.43.128 icmp_seq=5508 Destination Host Unreachable
[1725936885.921133] From 192.168.43.128 icmp_seq=5509 Destination Host Unreachable
[1725936885.921144] From 192.168.43.128 icmp_seq=5510 Destination Host Unreachable
[1725936885.921155] From 192.168.43.128 icmp_seq=5511 Destination Host Unreachable
[1725936886.992702] From 192.168.43.2 icmp_seq=5505 Destination Host Unreachable
[1725936899.966171] From 192.168.43.128 icmp_seq=5559 Destination Host Unreachable
[1725936899.966226] From 192.168.43.128 icmp_seq=5560 Destination Host Unreachable
[1725936899.966230] From 192.168.43.128 icmp_seq=5561 Destination Host Unreachable
[1725936899.966233] From 192.168.43.128 icmp_seq=5562 Destination Host Unreachable
[1725936899.966237] From 192.168.43.128 icmp_seq=5563 Destination Host Unreachable
[1725936899.966240] From 192.168.43.128 icmp_seq=5564 Destination Host Unreachable
[1725937891.785982] From 192.168.43.128 icmp_seq=10401 Destination Host Unreachable
[1725937891.786239] From 192.168.43.128 icmp_seq=10402 Destination Host Unreachable
[1725937891.786252] From 192.168.43.128 icmp_seq=10403 Destination Host Unreachable
[1725937891.786262] From 192.168.43.128 icmp_seq=10404 Destination Host Unreachable
[1725937891.786272] From 192.168.43.128 icmp_seq=10405 Destination Host Unreachable
[1725937891.786282] From 192.168.43.128 icmp_seq=10406 Destination Host Unreachable
[1725937907.966140] From 192.168.43.128 icmp_seq=10464 Destination Host Unreachable
[1725937907.966192] From 192.168.43.128 icmp_seq=10465 Destination Host Unreachable
[1725937907.966196] From 192.168.43.128 icmp_seq=10466 Destination Host Unreachable
[1725937907.966200] From 192.168.43.128 icmp_seq=10467 Destination Host Unreachable
[1725937907.966203] From 192.168.43.128 icmp_seq=10468 Destination Host Unreachable
[1725937907.966206] From 192.168.43.128 icmp_seq=10469 Destination Host Unreachable
[1725937944.159326] From 192.168.43.128 icmp_seq=10633 Destination Host Unreachable
[1725937944.159473] From 192.168.43.128 icmp_seq=10634 Destination Host Unreachable
[1725937944.159548] From 192.168.43.128 icmp_seq=10635 Destination Host Unreachable
[1725937944.159609] From 192.168.43.128 icmp_seq=10636 Destination Host Unreachable
[1725937944.159630] From 192.168.43.128 icmp_seq=10637 Destination Host Unreachable
[1725937944.159637] From 192.168.43.128 icmp_seq=10638 Destination Host Unreachable
[1725937958.302151] From 192.168.43.128 icmp_seq=10694 Destination Host Unreachable
[1725937958.302181] From 192.168.43.128 icmp_seq=10695 Destination Host Unreachable
[1725937958.302186] From 192.168.43.128 icmp_seq=10696 Destination Host Unreachable
[1725937958.302189] From 192.168.43.128 icmp_seq=10697 Destination Host Unreachable
[1725937958.302193] From 192.168.43.128 icmp_seq=10698 Destination Host Unreachable
[1725937958.302196] From 192.168.43.128 icmp_seq=10699 Destination Host Unreachable
